,timestamp,sentiment_neg,sentiment_neu,sentiment_pos,i_anti_vax
74,2015-06-07,0.03817142857142858,0.5431333333333332,0.056799999999999996,105
75,2015-06-14,0.07378761061946902,0.6046991150442476,0.06487610619469027,113
76,2015-06-21,0.047093959731543636,0.5549999999999997,0.042234899328859064,149
77,2015-06-28,0.057971631205673765,0.64022695035461,0.06775177304964541,141
78,2015-07-05,0.05022784810126582,0.5932531645569623,0.09068354430379749,158
79,2015-07-12,0.05606349206349206,0.617468253968254,0.09627777777777784,126
80,2015-07-19,0.05842335766423357,0.7241751824817518,0.06410948905109488,137
81,2015-07-26,0.10328571428571427,0.616390476190476,0.09933333333333332,105
82,2015-08-02,0.0940940170940171,0.507025641025641,0.09117948717948716,117
83,2015-08-09,0.08290517241379311,0.533448275862069,0.06466379310344826,116
84,2015-08-16,0.05797196261682244,0.5803177570093457,0.07199065420560749,107
